From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage
A994_11202	K2RQD8	unreviewed	K2RQD8_METFP	Acetate/CoA ligase	A994_11202	Methanobacterium formicicum (strain DSM 3637 / PP1)	634	
A994_03823	K2QER1	unreviewed	K2QER1_METFP	Mg2+ transporter	A994_03823	Methanobacterium formicicum (strain DSM 3637 / PP1)	330	
A994_01885	K2R710	unreviewed	K2R710_METFP	Alanine dehydrogenase, AlaDH, EC 1.4.1.1	ala A994_01885	Methanobacterium formicicum (strain DSM 3637 / PP1)	327	
A994_02978	K2R5D6	unreviewed	K2R5D6_METFP	N-acetyl-gamma-glutamyl-phosphate reductase, AGPR, EC 1.2.1.38 (N-acetyl-glutamate semialdehyde dehydrogenase, NAGSA dehydrogenase)	argC A994_02978	Methanobacterium formicicum (strain DSM 3637 / PP1)	336	
A994_08281	K2QBU9	unreviewed	K2QBU9_METFP	dUTP diphosphatase	A994_08281	Methanobacterium formicicum (strain DSM 3637 / PP1)	152	
A994_08286	K2R2K5	unreviewed	K2R2K5_METFP	Acetate/CoA ligase	A994_08286	Methanobacterium formicicum (strain DSM 3637 / PP1)	620	
A994_09251	K2R2B2	unreviewed	K2R2B2_METFP	Archaeal glutamate synthase [NADPH], EC 1.4.1.13	A994_09251	Methanobacterium formicicum (strain DSM 3637 / PP1)	620	
A994_05571	K2RT60	unreviewed	K2RT60_METFP	Adenylate kinase, AK, EC 2.7.4.3 (ATP-AMP transphosphorylase)	adkA A994_05571	Methanobacterium formicicum (strain DSM 3637 / PP1)	185	
A994_07195	K2R3V7	unreviewed	K2R3V7_METFP	Pyruvate ferredoxin oxidoreductase subunit gamma/delta	A994_07195	Methanobacterium formicicum (strain DSM 3637 / PP1)	174	
A994_01790	K2R358	unreviewed	K2R358_METFP	Tryptophan synthase beta chain, EC 4.2.1.20	trpB A994_01790	Methanobacterium formicicum (strain DSM 3637 / PP1)	430	
A994_01550	K2RW02	unreviewed	K2RW02_METFP	dITP/XTP pyrophosphatase, EC 3.6.1.66 (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase, NTPase)	A994_01550	Methanobacterium formicicum (strain DSM 3637 / PP1)	195	
A994_12448	K2R0H7	unreviewed	K2R0H7_METFP	dCTP deaminase, dUMP-forming, EC 3.5.4.30 (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)	dcd A994_12448	Methanobacterium formicicum (strain DSM 3637 / PP1)	202	
A994_02763	K2RDF9	unreviewed	K2RDF9_METFP	UDP-n-acetylglucosamine 2-epimerase	A994_02763	Methanobacterium formicicum (strain DSM 3637 / PP1)	364	
A994_00345	K2REA3	unreviewed	K2REA3_METFP	EmrB/QacA subfamily drug resistance transporter	A994_00345	Methanobacterium formicicum (strain DSM 3637 / PP1)	477	
A994_02888	K2RDI2	unreviewed	K2RDI2_METFP	Rubrerythrin	A994_02888	Methanobacterium formicicum (strain DSM 3637 / PP1)	194	
A994_04705	K2R4U2	unreviewed	K2R4U2_METFP	Heavy metal translocating P-type ATPase	A994_04705	Methanobacterium formicicum (strain DSM 3637 / PP1)	702	
A994_04270	K2RTK4	unreviewed	K2RTK4_METFP	2-oxoglutarate ferredoxin oxidoreductase subunit alpha, EC 1.2.7.3	A994_04270	Methanobacterium formicicum (strain DSM 3637 / PP1)	374	
A994_08991	K2QBF3	unreviewed	K2QBF3_METFP	Uncharacterized protein	A994_08991	Methanobacterium formicicum (strain DSM 3637 / PP1)	922	
A994_02075	K2RW89	unreviewed	K2RW89_METFP	5'-deoxyadenosine deaminase, 5'-dA deaminase, EC 3.5.4.41 (5'-methylthioadenosine deaminase, MTA deaminase, EC 3.5.4.31) (Adenosine deaminase, EC 3.5.4.4) (S-adenosylhomocysteine deaminase, SAH deaminase, EC 3.5.4.28)	dadD A994_02075	Methanobacterium formicicum (strain DSM 3637 / PP1)	430	
A994_01660	K2R6X5	unreviewed	K2R6X5_METFP	Acetolactate synthase, EC 2.2.1.6	A994_01660	Methanobacterium formicicum (strain DSM 3637 / PP1)	578	
A994_08616	K2QYV2	unreviewed	K2QYV2_METFP	Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)	ppa A994_08616	Methanobacterium formicicum (strain DSM 3637 / PP1)	173	
A994_02993	K2RUI8	unreviewed	K2RUI8_METFP	Acetylglutamate kinase, EC 2.7.2.8 (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase, NAGK)	argB A994_02993	Methanobacterium formicicum (strain DSM 3637 / PP1)	293	
A994_01785	K2R6Z7	unreviewed	K2R6Z7_METFP	Bifunctional enzyme Fae/Hps [Includes: 5,6,7,8-tetrahydromethanopterin hydro-lyase, EC 4.2.1.147 (Formaldehyde-activating enzyme, Fae); 3-hexulose-6-phosphate synthase, HPS, EC 4.1.2.43 (D-arabino-3-hexulose-6-phosphate formaldehyde lyase) ]	fae-hps A994_01785	Methanobacterium formicicum (strain DSM 3637 / PP1)	406	
A994_06435	K2RSE6	unreviewed	K2RSE6_METFP	Quinoprotein glucose dehydrogenase	A994_06435	Methanobacterium formicicum (strain DSM 3637 / PP1)	351	
A994_05225	K2QE20	unreviewed	K2QE20_METFP	Adenine deaminase, Adenase, Adenine aminase, EC 3.5.4.2	ade A994_05225	Methanobacterium formicicum (strain DSM 3637 / PP1)	611	
A994_09156	K2QYG2	unreviewed	K2QYG2_METFP	Malate dehydrogenase	A994_09156	Methanobacterium formicicum (strain DSM 3637 / PP1)	341	
A994_07891	K2R325	unreviewed	K2R325_METFP	Ferrous iron transport protein B, FeoB	A994_07891	Methanobacterium formicicum (strain DSM 3637 / PP1)	727	
A994_11906	K2QWN8	unreviewed	K2QWN8_METFP	Glutamine--fructose-6-phosphate aminotransferase [isomerizing], EC 2.6.1.16 (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS A994_11906	Methanobacterium formicicum (strain DSM 3637 / PP1)	593	
A994_06500	K2QZJ4	unreviewed	K2QZJ4_METFP	Pyruvate carboxylase subunit B, EC 6.4.1.1	A994_06500	Methanobacterium formicicum (strain DSM 3637 / PP1)	572	
A994_10689	K2R9R4	unreviewed	K2R9R4_METFP	Pyridoxal 5'-phosphate synthase subunit PdxS, PLP synthase subunit PdxS, EC 4.3.3.6 (Pdx1)	pdxS A994_10689	Methanobacterium formicicum (strain DSM 3637 / PP1)	293	
A994_02385	K2RWD7	unreviewed	K2RWD7_METFP	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	A994_02385	Methanobacterium formicicum (strain DSM 3637 / PP1)	604	
A994_10569	K2RQL4	unreviewed	K2RQL4_METFP	Serine O-acetyltransferase, EC 2.3.1.30	A994_10569	Methanobacterium formicicum (strain DSM 3637 / PP1)	237	
A994_04205	K2R4H3	unreviewed	K2R4H3_METFP	IMP cyclohydrolase, EC 3.5.4.10 (IMP synthase) (Inosinicase)	purO A994_04205	Methanobacterium formicicum (strain DSM 3637 / PP1)	200	
A994_00760	K2R6B2	unreviewed	K2R6B2_METFP	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK A994_00760	Methanobacterium formicicum (strain DSM 3637 / PP1)	624	
A994_04565	K2RCY4	unreviewed	K2RCY4_METFP	Anion transporter	A994_04565	Methanobacterium formicicum (strain DSM 3637 / PP1)	450	
A994_08496	K2RAW4	unreviewed	K2RAW4_METFP	Fructose-1,6-bisphosphate aldolase/phosphatase, FBP A/P, FBP aldolase/phosphatase, EC 3.1.3.11, EC 4.1.2.13	fbp A994_08496	Methanobacterium formicicum (strain DSM 3637 / PP1)	364	
A994_01060	K2R6I7	unreviewed	K2R6I7_METFP	CoB--CoM heterodisulfide reductase iron-sulfur subunit A, EC 1.8.-.-	A994_01060	Methanobacterium formicicum (strain DSM 3637 / PP1)	658	
A994_02390	K2QG91	unreviewed	K2QG91_METFP	Nitrogenase	A994_02390	Methanobacterium formicicum (strain DSM 3637 / PP1)	462	
A994_08131	K2RSD3	unreviewed	K2RSD3_METFP	Phosphoribosylformylglycinamidine synthase subunit PurQ, FGAM synthase, EC 6.3.5.3 (Formylglycinamide ribonucleotide amidotransferase subunit I, FGAR amidotransferase I, FGAR-AT I) (Glutaminase PurQ, EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	purQ A994_08131	Methanobacterium formicicum (strain DSM 3637 / PP1)	216	
A994_04310	K2R0T1	unreviewed	K2R0T1_METFP	Triosephosphate isomerase, TIM, TPI, EC 5.3.1.1 (Triose-phosphate isomerase)	tpiA A994_04310	Methanobacterium formicicum (strain DSM 3637 / PP1)	225	
A994_00990	K2R2R4	unreviewed	K2R2R4_METFP	Thiamine-monophosphate kinase, TMP kinase, Thiamine-phosphate kinase, EC 2.7.4.16	thiL A994_00990	Methanobacterium formicicum (strain DSM 3637 / PP1)	356	
A994_04315	K2RCT9	unreviewed	K2RCT9_METFP	Phosphoglycerate kinase, EC 2.7.2.3	pgk A994_04315	Methanobacterium formicicum (strain DSM 3637 / PP1)	404	
A994_05766	K2RCE6	unreviewed	K2RCE6_METFP	Na+/H+ antiporter	A994_05766	Methanobacterium formicicum (strain DSM 3637 / PP1)	399	
A994_11522	K2QA54	unreviewed	K2QA54_METFP	Aspartokinase, EC 2.7.2.4	A994_11522	Methanobacterium formicicum (strain DSM 3637 / PP1)	406	
A994_10554	K2R1E4	unreviewed	K2R1E4_METFP	Putative asparagine synthetase [glutamine-hydrolyzing], EC 6.3.5.4	A994_10554	Methanobacterium formicicum (strain DSM 3637 / PP1)	533	
A994_04555	K2R4P8	unreviewed	K2R4P8_METFP	Anion transporter	A994_04555	Methanobacterium formicicum (strain DSM 3637 / PP1)	450	
A994_12296	K2QA19	unreviewed	K2QA19_METFP	Orotidine 5'-phosphate decarboxylase, EC 4.1.1.23 (OMP decarboxylase, OMPDCase, OMPdecase)	pyrF A994_12296	Methanobacterium formicicum (strain DSM 3637 / PP1)	216	
A994_01605	K2QFT8	unreviewed	K2QFT8_METFP	Acetate/CoA ligase	A994_01605	Methanobacterium formicicum (strain DSM 3637 / PP1)	634	
A994_05891	K2RCG7	unreviewed	K2RCG7_METFP	Acetate--CoA ligase (ADP-forming), EC 6.2.1.13	A994_05891	Methanobacterium formicicum (strain DSM 3637 / PP1)	713	
A994_02380	K2RFB9	unreviewed	K2RFB9_METFP	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	A994_02380	Methanobacterium formicicum (strain DSM 3637 / PP1)	476	
A994_08481	K2QBX7	unreviewed	K2QBX7_METFP	Malate dehydrogenase, EC 1.1.1.37	A994_08481	Methanobacterium formicicum (strain DSM 3637 / PP1)	321	
A994_06186	K2R0H9	unreviewed	K2R0H9_METFP	GntR family transcriptional regulator	A994_06186	Methanobacterium formicicum (strain DSM 3637 / PP1)	392	
A994_08701	K2RRX7	unreviewed	K2RRX7_METFP	NADPH-dependent F420 reductase	A994_08701	Methanobacterium formicicum (strain DSM 3637 / PP1)	223	
A994_10108	K2R1W9	unreviewed	K2R1W9_METFP	Histidinol-phosphate aminotransferase, EC 2.6.1.9 (Imidazole acetol-phosphate transaminase)	hisC A994_10108	Methanobacterium formicicum (strain DSM 3637 / PP1)	366	
A994_01990	K2R388	unreviewed	K2R388_METFP	P-type HAD superfamily ATPase	A994_01990	Methanobacterium formicicum (strain DSM 3637 / PP1)	913	
A994_08946	K2R229	unreviewed	K2R229_METFP	Catalase-peroxidase, CP, EC 1.11.1.21 (Peroxidase/catalase)	katG A994_08946	Methanobacterium formicicum (strain DSM 3637 / PP1)	721	
A994_07731	K2RS47	unreviewed	K2RS47_METFP	Molybdopterin oxidoreductase	A994_07731	Methanobacterium formicicum (strain DSM 3637 / PP1)	365	
A994_01630	K2QFU2	unreviewed	K2QFU2_METFP	Branched-chain-amino-acid aminotransferase, BCAT, EC 2.6.1.42	ilvE A994_01630	Methanobacterium formicicum (strain DSM 3637 / PP1)	306	
A994_07611	K2QC62	unreviewed	K2QC62_METFP	Major facilitator superfamily protein	A994_07611	Methanobacterium formicicum (strain DSM 3637 / PP1)	468	
A994_11792	K2RQ77	unreviewed	K2RQ77_METFP	UDP-N-acetylglucosamine 2-epimerase	A994_11792	Methanobacterium formicicum (strain DSM 3637 / PP1)	440	
A994_07180	K2RC51	unreviewed	K2RC51_METFP	Pyruvate ferredoxin oxidoreductase subunit beta	A994_07180	Methanobacterium formicicum (strain DSM 3637 / PP1)	287	
A994_02050	K2RW86	unreviewed	K2RW86_METFP	NH(3)-dependent NAD(+) synthetase, EC 6.3.1.5	nadE A994_02050	Methanobacterium formicicum (strain DSM 3637 / PP1)	269	
A994_07185	K2RT08	unreviewed	K2RT08_METFP	Pyruvate synthase	A994_07185	Methanobacterium formicicum (strain DSM 3637 / PP1)	382	
A994_00095	K2RE61	unreviewed	K2RE61_METFP	Homoserine dehydrogenase, EC 1.1.1.3	A994_00095	Methanobacterium formicicum (strain DSM 3637 / PP1)	427	
A994_02395	K2R7A2	unreviewed	K2R7A2_METFP	Nitrogenase protein alpha chain, EC 1.18.6.1	A994_02395	Methanobacterium formicicum (strain DSM 3637 / PP1)	500	
A994_01740	K2R351	unreviewed	K2R351_METFP	F420-dependent methylenetetrahydromethanopterin dehydrogenase, MTD, EC 1.5.98.1 (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	mtd A994_01740	Methanobacterium formicicum (strain DSM 3637 / PP1)	276	
A994_10574	K2QAS2	unreviewed	K2QAS2_METFP	Cysteine synthase A	A994_10574	Methanobacterium formicicum (strain DSM 3637 / PP1)	328	
A994_07726	K2RBA6	unreviewed	K2RBA6_METFP	Formate dehydrogenase subunit beta-like protein FlpB	A994_07726	Methanobacterium formicicum (strain DSM 3637 / PP1)	382	
A994_01505	K2QFS5	unreviewed	K2QFS5_METFP	Aspartate carbamoyltransferase, EC 2.1.3.2 (Aspartate transcarbamylase, ATCase)	pyrB A994_01505	Methanobacterium formicicum (strain DSM 3637 / PP1)	304	
A994_09598	K2RQT5	unreviewed	K2RQT5_METFP	Methenyltetrahydromethanopterin cyclohydrolase, EC 3.5.4.27 (Methenyl-H4MPT cyclohydrolase)	mch A994_09598	Methanobacterium formicicum (strain DSM 3637 / PP1)	320	
A994_08381	K2QBW2	unreviewed	K2QBW2_METFP	Quinolinate synthase, EC 2.5.1.72	nadA A994_08381	Methanobacterium formicicum (strain DSM 3637 / PP1)	303	
A994_09593	K2R9W7	unreviewed	K2R9W7_METFP	Riboflavin synthase, EC 2.5.1.9	A994_09593	Methanobacterium formicicum (strain DSM 3637 / PP1)	152	
